"","property_name","address","lat","long","method","location"
"180","Verona Park","Verona Park, 1666 S Extension , mesa, AZ",33.384381902117,-111.849072934989,"arcgis","mesa"
"181","Villages at Lindsay Park","Villages at Lindsay Park, 1441 S Lindsay Rd , mesa, AZ",33.38868152508,-111.770981592951,"arcgis","mesa"
"182","Villas on Hampton","Villas on Hampton, 5120 E Hampton Ave , mesa, AZ",33.390328820511,-111.720954371486,"arcgis","mesa"
"183","Villetta","Villetta, 1840 W Emelita Ave , mesa, AZ",33.398500337917,-111.870945846602,"arcgis","mesa"
"184","Waterford","Waterford, 1055 W Baseline Rd , mesa, AZ",33.378557988153,-111.856668112733,"arcgis","mesa"
"185","Woodstream","Woodstream, 1230 N Mesa Dr , mesa, AZ",33.438166772685,-111.822863981045,"arcgis","mesa"
"186","X-B Ranch MHP","X-B Ranch MHP, 5200 E Main St , mesa, AZ",33.415793126177,-111.717825658488,"arcgis","mesa"
"187","",", 227, 233, 261, 253 and 312 S Doran , mesa, AZ",33.409457664662,-111.803316879926,"arcgis","mesa"
"188","",", 20 N Parcel , mesa, AZ",33.4151797,-111.8315,"arcgis","mesa"
"189","",", 416, 510 and 515 N Williams , mesa, AZ",33.424842354574,-111.795317945907,"arcgis","mesa"
"190","",", 542, 544 N Drew , mesa, AZ",33.425384998985,-111.832534015101,"arcgis","mesa"
"191","",", 41, 48, 49, 55, 61, 111 and 119 E Ingram , mesa, AZ",33.446396502408,-111.828375250021,"arcgis","mesa"
"192","",", 1231 E 3rd Ave , mesa, AZ",33.408831007035,-111.803962382664,"arcgis","mesa"
"193","",", 1622 and 1630 E Crown , mesa, AZ",33.424034381017,-111.795609887594,"arcgis","mesa"
"194","",", 304 and 310 S Allen , mesa, AZ",33.409518684917,-111.804244924246,"arcgis","mesa"
"195","",", 335, 347 and 359 S Williams , mesa, AZ",33.40847178521,-111.794886613169,"arcgis","mesa"
"196","",", 1751 E Broadway , mesa, AZ",33.407915813573,-111.793056592249,"arcgis","mesa"
"197","Alma Park Apts","Alma Park Apts, 718 S Alma School Rd , mesa, AZ",33.401393393707,-111.857154430755,"arcgis","mesa"
"198","Aztec Springs","Aztec Springs, 164 N 74th St , mesa, AZ",33.418261303296,-111.672434719127,"arcgis","mesa"
"199","Circle Tree Condos","Circle Tree Condos, 461 W Holmes , mesa, AZ",33.387215821123,-111.842500569115,"arcgis","mesa"
"200","Clare Feldstadt I","Clare Feldstadt I, 710 W 8th Ave , mesa, AZ",33.400648535881,-111.846497092325,"arcgis","mesa"
"201","Dobson Greens Condos","Dobson Greens Condos, 1920 W Lindner Ave , mesa, AZ",33.375818866014,-111.876876713651,"arcgis","mesa"
"202","La Mesa Village Apts","La Mesa Village Apts, 655 S Mesa Dr , mesa, AZ",33.402780682502,-111.822792399592,"arcgis","mesa"
"203","La Mesita","La Mesita, 2245 W Ella , mesa, AZ",33.416484842736,-111.880636332501,"arcgis","mesa"
"204","Lakeview at Superstition Springs Apts","Lakeview at Superstition Springs Apts, 1849 S Power Rd , mesa, AZ",33.376672018029,-111.680247993991,"arcgis","mesa"
"205","San Montego Luxury Apts","San Montego Luxury Apts, 6745 E Superstition Springs Blvd , mesa, AZ",33.384683105808,-111.688208538894,"arcgis","mesa"
"206","Sandstone Apts","Sandstone Apts, 1727 W Emelita , mesa, AZ",33.399651232328,-111.868357986578,"arcgis","mesa"
"207","Shorebird Apts","Shorebird Apts, 1362 S Vineyard , mesa, AZ",33.389586812532,-111.842897819282,"arcgis","mesa"
"208","Silver Spur MHP","Silver Spur MHP, 9310 E Main St , mesa, AZ",33.415595564719,-111.630242733113,"arcgis","mesa"
"209","Stonegate","Stonegate, 825 S Alma School Rd , mesa, AZ",33.399295445252,-111.856832398035,"arcgis","mesa"
"210","Sun Valley Casitas","Sun Valley Casitas, 145 N 74th St , mesa, AZ",33.417725322497,-111.671726699766,"arcgis","mesa"
"211","Sun Valley Ranch","Sun Valley Ranch, 7353 E University Dr , mesa, AZ",33.422212197176,-111.67182677969,"arcgis","mesa"
