"geoid","location","median_income","median_rent","percent_poverty_150","number_rental_units","avg_edu","pop_asian","pop_black","pop_female","pop_immigrant","pop_latin_hispanic","pop_male","pop_native_american","pop_other","pop_owners","pop_pacific_islander","pop_tenants","pop_white","total_population","renter_asian","renter_black","renter_hispanic_latin","renter_household_total","renter_multiple_race","renter_native_american","renter_other","renter_pacific_islander","renter_white","renter_white_alone","year","cpi_rent","cpi_all","median_rent_adj","median_income_adj"
"0400870","Ajo CDP, Arizona",34496,636,0.268755935422602,1403,12.7616940581542,0.0267445434983093,0.011681524746388,0.507224100830003,0.170919151552413,0.471257300952966,0.492775899169997,0.136796802951122,0.233015677835844,0.294804795573317,0,0.398094067015063,0.66369505072241,3253,0,0,0.515765765765766,444,0.13963963963964,0.0810810810810811,0.225225225225225,0,0.554054054054054,0.445945945945946,2009,0.606418318290527,0.639057487710877,385.682050432775,22044.9270960744
"0401090","Ak-Chin Village CDP, Arizona",26750,1225,0.697356426618049,323,11.6353211009174,0.00364630811303555,0.0865998176845943,0.515952597994531,0.0200546946216955,0.0683682771194166,0.484047402005469,0.969006381039198,0.0237010027347311,0.0619872379216044,0.0118505013673655,0.68824065633546,0.0118505013673655,1097,0,0,0,255,0,0.96078431372549,0,0.0392156862745098,0,0,2009,0.606418318290527,0.639057487710877,742.862439905895,17094.787796266
"0401990","Amado CDP, Arizona",67656,NA,0.361963190184049,66,13.4907975460123,0,0,0.392638036809816,0,0.0613496932515337,0.607361963190184,0,0,0.404907975460123,0,0,1,163,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2009,0.606418318290527,0.639057487710877,NA,43236.0733885671
"0402830","Apache Junction city, Arizona",38499,633,0.266051671825677,14907,13.6375709182601,0.0146500106379745,0.013495030546184,0.510045287377283,0.0943132427585788,0.15984316586122,0.489954712622717,0.0123400504543935,0.0345582201148901,0.355581897206772,0.0085407738366615,0.214005653323607,0.934105346342056,32901,0.013715710723192,0.0077930174563591,0.151496259351621,3208,0.0314837905236908,0,0.0252493765586035,0.0162094763092269,0.905548628428928,0.783354114713217,2009,0.606418318290527,0.639057487710877,383.862795477903,24603.074219381
"0403530","Arizona City CDP, Arizona",42241,756,0.249173098125689,1933,13.4426392572944,0.0081587651598677,0.00264608599779493,0.503638368246968,0.0705622932745314,0.241896361631753,0.496361631753032,0.0165380374862183,0.154796030871003,0.333186328555678,0,0.122160970231533,0.834619625137817,4535,0,0,0.260663507109005,422,0,0,0.191943127962085,0,0.808056872037915,0.739336492890995,2009,0.606418318290527,0.639057487710877,458.452248627638,26994.4273383951
"0403915","Arizona Village CDP, Arizona",25469,520,0.741100323624595,95,13.0950920245399,0.0513595166163142,0.0604229607250755,0.495468277945619,0.0513595166163142,0.24773413897281,0.504531722054381,0.824773413897281,0.0392749244712991,0.00604229607250755,0,0.987915407854985,0.0574018126888218,331,0.0860215053763441,0.021505376344086,0.290322580645161,93,0.010752688172043,0.731182795698925,0.0537634408602151,0,0.0967741935483871,0,2009,0.606418318290527,0.639057487710877,315.337525511074,16276.1551545083
"0404440","Ash Fork CDP, Arizona",42688,524,0.373522458628842,151,12.484126984127,0,0,0.479905437352246,0.146572104018913,0.385342789598109,0.520094562647754,0.0780141843971631,0.205673758865248,0.24113475177305,0,0.347517730496454,0.756501182033097,423,0,0,0.122448979591837,49,0.346938775510204,0,0,0,0.653061224489796,0.530612244897959,2009,0.606418318290527,0.639057487710877,317.763198784236,27280.0860354019
"0404720","Avondale city, Arizona",61173,1132,0.248074098884394,22142,13.2700599207064,0.0401701626026678,0.0960752405725049,0.504273285240188,0.173250643875812,0.506246556385582,0.495726714759812,0.0147739066924644,0.159335238266084,0.190382225183553,0.00198608459439027,0.341094012275284,0.718065681739554,78043,0.0275947281713344,0.134953322350357,0.463069741900055,7284,0.0252608456891818,0.0104338275672707,0.100494233937397,0.00151015925315761,0.699752883031301,0.356946732564525,2009,0.606418318290527,0.639057487710877,686.465536304876,39093.0636957375
"0404880","Avra Valley CDP, Arizona",42722,673,0.276095266098206,2102,13.2447464595706,0.00176133861734919,0.0264200792602378,0.49669749009247,0.0956993982093057,0.281667400557757,0.50330250990753,0.0296492000587113,0.136944077498899,0.249669749009247,0,0.138265081461911,0.834287391751064,6813,0,0,0.291770573566085,401,0.0723192019950125,0,0.187032418952618,0,0.740648379052369,0.665835411471322,2009,0.606418318290527,0.639057487710877,408.119528209525,27301.8139899841
"0405140","Bagdad CDP, Arizona",56875,402,0.0750126710593006,714,13.7579034941764,0,0.047,0.4445,0.0345,0.1785,0.5555,0.0565,0.0425,0.033,0,0.934,0.9145,2000,0,0.0308641975308642,0.145061728395062,648,0.0771604938271605,0.0216049382716049,0.029320987654321,0,0.841049382716049,0.751543209876543,2009,0.606418318290527,0.639057487710877,243.780163952792,36346.3946135561
"0405770","Benson city, Arizona",36375,612,0.250367878915283,2094,13.7877496671105,0.00221550855991944,0.024773413897281,0.518026183282981,0.0269889224572004,0.170392749244713,0.481973816717019,0.013091641490433,0.0457200402819738,0.299899295065458,0.0173212487411883,0.278952668680765,0.921248741188318,4965,0,0,0.148760330578512,605,0.0264462809917355,0,0.0214876033057851,0,0.952066115702479,0.851239669421488,2009,0.606418318290527,0.639057487710877,371.128010793802,23245.7161154831
