"geoid","location","year","number_of_months_missing","number_of_reporting_agencies","assault_total","burglary_total","index_total","robbery_total","outlier","median_income","median_rent","percent_poverty_150","number_rental_units","avg_edu","pop_asian","pop_black","pop_female","pop_immigrant","pop_latin_hispanic","pop_male","pop_native_american","pop_other","pop_owners","pop_pacific_islander","pop_tenants","pop_white","total_population","renter_asian","renter_black","renter_hispanic_latin","renter_household_total","renter_multiple_race","renter_native_american","renter_other","renter_pacific_islander","renter_white","renter_white_alone","cpi_rent","cpi_all","median_rent_adj","median_income_adj","implementation_date","treated","post_treat"
404720,"Avondale",2016,0,1,13.4811672929766,13.840830449827,86.6912229787551,0.967369870149198,FALSE,56120,1065,0.27428963966777,24467,13.642597074608,0.0463345363445821,0.127097518324218,0.507459909960189,0.148082003199762,0.502833897632424,0.492540090039811,0.0221626917686746,0.091701702819015,0.160980268135085,0.00337339236769977,0.460368840768439,0.748620257717255,80631,0.0295986767650387,0.144337076695395,0.437189866805955,11487,0.025855314703578,0.0147122834508575,0.0661617480630278,0.00182815356489945,0.717506746757204,0.363454339688343,0.73728830070676,0.751491746991505,785.2120402527,42173.7168411632,2020,TRUE,0
404720,"Avondale",2017,0,1,14.5483515136659,11.7661478122319,88.3441598235078,1.18887118519426,FALSE,56585,1106,0.270267606327929,25077,13.6562965077165,0.0469052579973036,0.125039833312906,0.507317073170732,0.156195612207378,0.501642358132124,0.492682926829268,0.0240102953793357,0.0959431302855742,0.167214119377375,0.00447358744944233,0.444172079911754,0.744931976957961,81590,0.0303480846597866,0.144743746720308,0.408693370648942,11434,0.0343711736924961,0.0226517404232989,0.0642819660661186,0.00402308903270946,0.699580199405282,0.374409655413678,0.764489559334252,0.775498167850064,845.525452623683,43881.5638277959,2020,TRUE,0
404720,"Avondale",2018,0,1,18.3111089792786,9.20951650038373,72.5489255564083,0.875383729854183,FALSE,58938,1137,0.261168384879725,25789,13.6492128003788,0.0493572524942441,0.124376438986953,0.507758537989256,0.16043505372218,0.508801803530315,0.492241462010744,0.024330871066769,0.104602359938603,0.165567440521873,0.00462874136607828,0.449179777436685,0.739423445894091,83392,0.0337172425304624,0.14621932899349,0.411533967618094,11982,0.0370555833750626,0.0202804206309464,0.0830412285094308,0.00275413119679519,0.676932064763812,0.368052078117176,0.791062478385606,0.800381559007023,899.438037924434,47172.8883247559,2020,TRUE,0
404720,"Avondale",2019,0,1,16.3684856495468,8.99263595166163,78.9746978851964,0.967711480362538,FALSE,61825,1185,0.243816254416961,26067,13.7250550435477,0.0411277379154079,0.125778889728097,0.515294561933535,0.162209686555891,0.519141805135952,0.484705438066465,0.0255853474320242,0.118048999244713,0.169266899546828,0.00624291918429003,0.43132788897281,0.724697885196375,84736,0.0205561241896964,0.153360627772091,0.41086659843057,11724,0.0317297850562948,0.0240532241555783,0.0877686796315251,0.00315591948140566,0.679375639713408,0.377175025588536,0.820224253907639,0.826318853066447,971.965740880552,51087.1630908331,2020,TRUE,0
404720,"Avondale",2020,0,1,17.4234240512946,5.83103924916658,77.4761589480898,0.685321346017586,FALSE,67886,1271,0.22638356548565,26427,13.705497530259,0.0405733468074479,0.119187836126889,0.510146240605871,0.184270132766491,0.538232800176557,0.489853759394129,0.0310136948113043,0.19173897387648,0.186268018724373,0.00978034870079335,0.368702884157461,0.71727590572766,86091,0.0177076316042729,0.163025695313252,0.41603310557213,10391,0.0822827446828987,0.0264652102781253,0.0955634683861034,0.00250216533538639,0.612453084399961,0.360792993937061,0.838894219762984,0.841440180112263,1066.23455331875,57122.0080671011,2020,TRUE,1
404720,"Avondale",2021,0,1,19.8943961846363,6.58604439902345,83.7108953613808,0.828933174359848,FALSE,69241,1364,0.235081787444028,27995,13.741049226915,0.0433543405439164,0.114846988020212,0.509021745301766,0.181627207176517,0.563197638108216,0.490978254698234,0.0330891954806109,0.250485436893204,0.192607732924544,0.00962925112133083,0.369590643274854,0.721944018622608,88065,0.0167678781836309,0.142662920329919,0.442490709689114,11033,0.124082298558869,0.0227499320221155,0.0813921870751382,0.00299102691924227,0.609353756911085,0.360282787999637,0.866843153777587,0.87655489141723,1182.37406175263,60693.5372366204,2020,TRUE,1
404720,"Avondale",2022,0,1,21.6109579214025,6.43396776290717,73.3741341045127,0.795839218059946,FALSE,76496,1562,0.215818647760756,28831,13.8567867993523,0.0459232855829802,0.119577644764275,0.505122514403569,0.17545452507454,0.552514179388885,0.494877485596431,0.0271818324478221,0.323760844710471,0.192738807810433,0.0085524693433766,0.378146927612258,0.68483646064519,89214,0.0192506015812994,0.156754898590581,0.444998281196287,11636,0.146098315572362,0.0108284633894809,0.138535579236851,8.5940185630801e-05,0.528446201443795,0.356050189068408,0.939219105419794,0.94194559194213,1467.06024266572,72055.0700012052,2020,TRUE,1
404720,"Avondale",2023,0,1,21.6561493314505,4.30254622479149,59.9488107320948,0.904637924186929,FALSE,81260,1731,0.208360701363763,29372,13.8425512777552,0.0476700057367283,0.120537487313005,0.508362384713826,0.172421781916067,0.542120824323728,0.491637615286175,0.034773399232161,0.383235514761043,0.19966020916994,0.00969727726049159,0.365418560522484,0.655531529941309,90644,0.0133936491041334,0.171545148128437,0.440216427177577,11274,0.189817278694341,0.0199574241617882,0.138105375199574,0.000532197977647685,0.466648926734078,0.341138903672166,1,1,1731,81260,2020,TRUE,1
405770,"Benson",2009,6,1,2.01409869083585,2.41691842900302,24.5720040281974,0.201409869083585,TRUE,36375,612,0.250367878915283,2094,13.7877496671105,0.00221550855991944,0.024773413897281,0.518026183282981,0.0269889224572004,0.170392749244713,0.481973816717019,0.013091641490433,0.0457200402819738,0.299899295065458,0.0173212487411883,0.278952668680765,0.921248741188318,4965,0,0,0.148760330578512,605,0.0264462809917355,0,0.0214876033057851,0,0.952066115702479,0.851239669421488,0.606418318290527,0.639057487710877,371.128010793802,23245.7161154831,NA,FALSE,0
405770,"Benson",2010,12,1,0,0,0,0,TRUE,32226,638,0.284174125305126,2282,13.9443870967742,0.0217563291139241,0.0239319620253165,0.472310126582278,0.0304588607594937,0.201542721518987,0.527689873417722,0.0162183544303797,0.0535996835443038,0.319620253164557,0.0168117088607595,0.295490506329114,0.907238924050633,5056,0,0,0.166666666666667,666,0.0645645645645646,0,0.0315315315315315,0,0.903903903903904,0.797297297297297,0.61125750719668,0.639224163352386,389.982289591482,20599.637888194,NA,FALSE,0
